0x13a,"['.\\GitHubScraping\\0x13a\\bitcoin-trading-dca\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\iotaledger\\iota.lib.go\\all_contributors\\contributors_page_1.json']" 
jloughry,"['.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_5.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_5.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_5.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_5.json']"
joshrabinowitz,"['.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_5.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_5.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_5.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_5.json']"
caninojories,['.\\GitHubScraping\\Felonius-Gru\\blockv\\all_contributors\\contributors_page_1.json']
lussos,['.\\GitHubScraping\\Felonius-Gru\\blockv\\all_contributors\\contributors_page_1.json']
Felonius-Gru,['.\\GitHubScraping\\Felonius-Gru\\blockv\\all_contributors\\contributors_page_1.json']
FiloSottile,['.\\GitHubScraping\\FiloSottile\\zcash-mini\\all_contributors\\contributors_page_1.json']
recursion,['.\\GitHubScraping\\FlipSideHR\\FlyptoX\\all_contributors\\contributors_page_1.json']
RWTreichel,['.\\GitHubScraping\\FlipSideHR\\FlyptoX\\all_contributors\\contributors_page_1.json']
simonburns,['.\\GitHubScraping\\FlipSideHR\\FlyptoX\\all_contributors\\contributors_page_1.json']
amyli,['.\\GitHubScraping\\FlipSideHR\\FlyptoX\\all_contributors\\contributors_page_1.json']
codinguncut,['.\\GitHubScraping\\fluquid\\cryptocurrency\\all_contributors\\contributors_page_1.json']
foleyb25,['.\\GitHubScraping\\foleyb25\\Cryptocurrency\\all_contributors\\contributors_page_1.json']
Folken315,['.\\GitHubScraping\\Folken315\\cryptocurrency\\all_contributors\\contributors_page_1.json']
brubrant,['.\\GitHubScraping\\forex-social\\crypto-arbitrage-br\\all_contributors\\contributors_page_1.json']
wilsondivino,['.\\GitHubScraping\\forex-social\\crypto-arbitrage-br\\all_contributors\\contributors_page_1.json']
forgemo,['.\\GitHubScraping\\forgemo\\bittrex-java-client\\all_contributors\\contributors_page_1.json']
frankh,"['.\\GitHubScraping\\frankh\\nano\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\frankh\\nano-vanity\\all_contributors\\contributors_page_1.json']"
xboston,"['.\\GitHubScraping\\frankh\\nano\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\frankh\\nano-vanity\\all_contributors\\contributors_page_1.json']"
oliveirajesse,['.\\GitHubScraping\\FriendsStart\\CryptoCurrency\\all_contributors\\contributors_page_1.json']
ohopton,['.\\GitHubScraping\\funfair-tech\\CoinBot\\all_contributors\\contributors_page_1.json']
Erikvl87,['.\\GitHubScraping\\funfair-tech\\CoinBot\\all_contributors\\contributors_page_1.json']
andreij6,['.\\GitHubScraping\\funfair-tech\\CoinBot\\all_contributors\\contributors_page_1.json']
gaitomai,['.\\GitHubScraping\\gaitomai\\CryptoCurrency\\all_contributors\\contributors_page_1.json']
gascrypto,['.\\GitHubScraping\\gascrypto\\Gascoin\\all_contributors\\contributors_page_1.json']
gauravkhrnr,['.\\GitHubScraping\\gauravkhrnr\\CryptoCurrency\\all_contributors\\contributors_page_1.json']
gazbert,['.\\GitHubScraping\\gazbert\\bxbot\\all_contributors\\contributors_page_1.json']
kuceraf,['.\\GitHubScraping\\gazbert\\bxbot\\all_contributors\\contributors_page_1.json']
Gondee,['.\\GitHubScraping\\gazbert\\bxbot\\all_contributors\\contributors_page_1.json']
gcarrot,['.\\GitHubScraping\\gcarrot\\Cryptocurrency\\all_contributors\\contributors_page_1.json']
gdanezis,['.\\GitHubScraping\\gdanezis\\rscoin\\all_contributors\\contributors_page_1.json']
GeertAltCoin,['.\\GitHubScraping\\GeertAltCoin\\Geertcoin\\all_contributors\\contributors_page_1.json']
geopan,['.\\GitHubScraping\\geopan\\bittrex-bot\\all_contributors\\contributors_page_1.json']
gerardkabre,['.\\GitHubScraping\\gerardkabre\\CryptoCurrency\\all_contributors\\contributors_page_1.json']
gferrin,"['.\\GitHubScraping\\gferrin\\bitfinex\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\grctest\\node-gridcoin\\all_contributors\\contributors_page_1.json']"
naddison36,['.\\GitHubScraping\\gferrin\\bitfinex\\all_contributors\\contributors_page_1.json']
dutu,['.\\GitHubScraping\\gferrin\\bitfinex\\all_contributors\\contributors_page_1.json']
loourr,['.\\GitHubScraping\\gferrin\\bitfinex\\all_contributors\\contributors_page_1.json']
gmelika,['.\\GitHubScraping\\gferrin\\bitfinex\\all_contributors\\contributors_page_1.json']
jkrup,['.\\GitHubScraping\\gferrin\\bitfinex\\all_contributors\\contributors_page_1.json']
ghostlander,['.\\GitHubScraping\\ghostlander\\Phoenixcoin\\all_contributors\\contributors_page_1.json']
glitch100,['.\\GitHubScraping\\glitch100\\BinanceDotNet\\all_contributors\\contributors_page_1.json']
BjornNordblom,['.\\GitHubScraping\\glitch100\\BinanceDotNet\\all_contributors\\contributors_page_1.json']
jgsnijders,['.\\GitHubScraping\\glitch100\\BinanceDotNet\\all_contributors\\contributors_page_1.json']
GlobalDenomination,['.\\GitHubScraping\\GlobalDenomination\\GDN\\all_contributors\\contributors_page_1.json']
GoByteDev,['.\\GitHubScraping\\gobytecoin\\gobyte\\all_contributors\\contributors_page_1.json']
ktec,['.\\GitHubScraping\\gobytecoin\\gobyte\\all_contributors\\contributors_page_1.json']
goldblocks,['.\\GitHubScraping\\goldblockscoin\\goldblocks\\all_contributors\\contributors_page_1.json']
goldblockscoin,['.\\GitHubScraping\\goldblockscoin\\goldblocks\\all_contributors\\contributors_page_1.json']
redni,['.\\GitHubScraping\\goldblockscoin\\goldblocks\\all_contributors\\contributors_page_1.json']
dangershony,['.\\GitHubScraping\\goldblockscoin\\goldblocks\\all_contributors\\contributors_page_1.json']
golukumar21,['.\\GitHubScraping\\golukumar21\\CryptoCurrency\\all_contributors\\contributors_page_1.json']
bitfawkes,['.\\GitHubScraping\\goshencoin-project\\goshencoin-core\\all_contributors\\contributors_page_1.json']
goshencoin-project,['.\\GitHubScraping\\goshencoin-project\\goshencoin-core\\all_contributors\\contributors_page_1.json']
doomhz,['.\\GitHubScraping\\grctest\\node-gridcoin\\all_contributors\\contributors_page_1.json']
grc-test,['.\\GitHubScraping\\grctest\\node-gridcoin\\all_contributors\\contributors_page_1.json']
barton2526,['.\\GitHubScraping\\grctest\\node-gridcoin\\all_contributors\\contributors_page_1.json']
greatis,['.\\GitHubScraping\\greatis\\Anti-WebMiner\\all_contributors\\contributors_page_1.json']
greatwolf,['.\\GitHubScraping\\greatwolf\\cryptofu\\all_contributors\\contributors_page_1.json']
greed2411,['.\\GitHubScraping\\greed2411\\cryptocurrency\\all_contributors\\contributors_page_1.json']
gregheo,['.\\GitHubScraping\\gregheo\\CoinTracker\\all_contributors\\contributors_page_1.json']
grkmkc,['.\\GitHubScraping\\grkmkc\\cryptocurrency\\all_contributors\\contributors_page_1.json']
guaranycryptocurrency,['.\\GitHubScraping\\guaranycryptocurrency\\Guarany\\all_contributors\\contributors_page_1.json']
bitkevin,"['.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_5.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_5.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_5.json']"
kirkalx,"['.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_5.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_5.json']"
guptarohit,['.\\GitHubScraping\\guptarohit\\cryptoCMD\\all_contributors\\contributors_page_1.json']
yrming,['.\\GitHubScraping\\gxchain\\gxs-wallet\\all_contributors\\contributors_page_1.json']
xzshinan,['.\\GitHubScraping\\gxchain\\gxs-wallet\\all_contributors\\contributors_page_1.json']
halilozercan,['.\\GitHubScraping\\halilozercan\\halocoin\\all_contributors\\contributors_page_1.json']
adam-wayne,['.\\GitHubScraping\\halilozercan\\halocoin\\all_contributors\\contributors_page_1.json']
Roasbeef,"['.\\GitHubScraping\\halilozercan\\halocoin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\lightninglabs\\lightning-app\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\lightninglabs\\neutrino\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\lightningnetwork\\lightning-onion\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\lightningnetwork\\lightning-rfc\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\lightningnetwork\\lnd\\all_contributors\\contributors_page_1.json']"
poppingtonic,['.\\GitHubScraping\\halilozercan\\halocoin\\all_contributors\\contributors_page_1.json']
toqueteos,['.\\GitHubScraping\\halilozercan\\halocoin\\all_contributors\\contributors_page_1.json']
thomie,['.\\GitHubScraping\\halilozercan\\halocoin\\all_contributors\\contributors_page_1.json']
ChrisCalderon,['.\\GitHubScraping\\halilozercan\\halocoin\\all_contributors\\contributors_page_1.json']
fisher-lebo,['.\\GitHubScraping\\halilozercan\\halocoin\\all_contributors\\contributors_page_1.json']
tubaman,['.\\GitHubScraping\\halilozercan\\halocoin\\all_contributors\\contributors_page_1.json']
HARISHCEXPERT,['.\\GitHubScraping\\HARISHCEXPERT\\cryptocurrency\\all_contributors\\contributors_page_1.json']
Haseeb-Qureshi,['.\\GitHubScraping\\Haseeb-Qureshi\\lets-build-a-blockchain\\all_contributors\\contributors_page_1.json']
wuhl,['.\\GitHubScraping\\Haseeb-Qureshi\\lets-build-a-blockchain\\all_contributors\\contributors_page_1.json']
SeienK,['.\\GitHubScraping\\HcashOrg\\hcashd\\all_contributors\\contributors_page_1.json']
sammy00,['.\\GitHubScraping\\HcashOrg\\hcashd\\all_contributors\\contributors_page_1.json']
yczhangsjtu,['.\\GitHubScraping\\HcashOrg\\hcashd\\all_contributors\\contributors_page_1.json']
Fanlq,['.\\GitHubScraping\\HcashOrg\\hcashd\\all_contributors\\contributors_page_1.json']
chaoguodeng,['.\\GitHubScraping\\HcashOrg\\hcashd\\all_contributors\\contributors_page_1.json']
hdkhanhkhtn,['.\\GitHubScraping\\hdkhanhkhtn\\cryptocurrency\\all_contributors\\contributors_page_1.json']
khanhruby,['.\\GitHubScraping\\hdkhanhkhtn\\cryptocurrency\\all_contributors\\contributors_page_1.json']
HFenter,['.\\GitHubScraping\\HFenter\\MarginBot\\all_contributors\\contributors_page_1.json']
Dorque,['.\\GitHubScraping\\HFenter\\MarginBot\\all_contributors\\contributors_page_1.json']
kevholmes,['.\\GitHubScraping\\HFenter\\MarginBot\\all_contributors\\contributors_page_1.json']
ultragtx,['.\\GitHubScraping\\HFenter\\MarginBot\\all_contributors\\contributors_page_1.json']
bartbroere,['.\\GitHubScraping\\HFenter\\MarginBot\\all_contributors\\contributors_page_1.json']
dargolf,['.\\GitHubScraping\\HFenter\\MarginBot\\all_contributors\\contributors_page_1.json']
highmindedlowlife,['.\\GitHubScraping\\highmindedlowlife\\trading-scripts\\all_contributors\\contributors_page_1.json']
amitkot,['.\\GitHubScraping\\highmindedlowlife\\trading-scripts\\all_contributors\\contributors_page_1.json']
hkLe7,['.\\GitHubScraping\\hkLe7\\Cryptocurrency\\all_contributors\\contributors_page_1.json']
HmartinFr,['.\\GitHubScraping\\HmartinFr\\cryptocurrency\\all_contributors\\contributors_page_1.json']
hminaya,['.\\GitHubScraping\\hminaya\\moneda-cli\\all_contributors\\contributors_page_1.json']
amhed,['.\\GitHubScraping\\hminaya\\moneda-cli\\all_contributors\\contributors_page_1.json']
andrewreedy,['.\\GitHubScraping\\holographicio\\awesome-token-sale\\all_contributors\\contributors_page_1.json']
westurner,['.\\GitHubScraping\\holographicio\\awesome-token-sale\\all_contributors\\contributors_page_1.json']
AronVanAmmers,['.\\GitHubScraping\\holographicio\\awesome-token-sale\\all_contributors\\contributors_page_1.json']
jparkrr,['.\\GitHubScraping\\holographicio\\awesome-token-sale\\all_contributors\\contributors_page_1.json']
hoshizuki,['.\\GitHubScraping\\hoshizuki\\Cryptocurrency\\all_contributors\\contributors_page_1.json']
howardchung,['.\\GitHubScraping\\howardchung\\jsminer\\all_contributors\\contributors_page_1.json']
kentjiang,['.\\GitHubScraping\\howardchung\\jsminer\\all_contributors\\contributors_page_1.json']
mhruzAtCA,['.\\GitHubScraping\\hruzinator\\CryptoCurrency\\all_contributors\\contributors_page_1.json']
hugues31,['.\\GitHubScraping\\hugues31\\coinnect\\all_contributors\\contributors_page_1.json']
ainestal,['.\\GitHubScraping\\hugues31\\coinnect\\all_contributors\\contributors_page_1.json']
Peltoche,['.\\GitHubScraping\\hugues31\\coinnect\\all_contributors\\contributors_page_1.json']
cardoe,['.\\GitHubScraping\\hugues31\\coinnect\\all_contributors\\contributors_page_1.json']
andygrove,['.\\GitHubScraping\\hugues31\\coinnect\\all_contributors\\contributors_page_1.json']
celaus,['.\\GitHubScraping\\hugues31\\coinnect\\all_contributors\\contributors_page_1.json']
doomsplayer,['.\\GitHubScraping\\hugues31\\coinnect\\all_contributors\\contributors_page_1.json']
mjduijn,['.\\GitHubScraping\\hugues31\\coinnect\\all_contributors\\contributors_page_1.json']
hunterlong,"['.\\GitHubScraping\\hunterlong\\shapeshift\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\hunterlong\\tokenbalance\\all_contributors\\contributors_page_1.json']"
iamcoderisk,['.\\GitHubScraping\\iamcoderisk\\cryptocurrency\\all_contributors\\contributors_page_1.json']
iCell,['.\\GitHubScraping\\iCell\\CryptoCurrencyKit\\all_contributors\\contributors_page_1.json']
ikonovalov,['.\\GitHubScraping\\ikonovalov\\rust-cryptocurrency-demo\\all_contributors\\contributors_page_1.json']
imbaniac,['.\\GitHubScraping\\imbaniac\\awesome-blockchain\\all_contributors\\contributors_page_1.json']
4leem,['.\\GitHubScraping\\imbaniac\\awesome-blockchain\\all_contributors\\contributors_page_1.json']
r3dsm0k3,['.\\GitHubScraping\\imbaniac\\awesome-blockchain\\all_contributors\\contributors_page_1.json']
punit2502,"['.\\GitHubScraping\\imbaniac\\awesome-blockchain\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\kennethreitz\\awesome-coins\\all_contributors\\contributors_page_1.json']"
imdario,['.\\GitHubScraping\\imbaniac\\awesome-blockchain\\all_contributors\\contributors_page_1.json']
fturco,['.\\GitHubScraping\\imbaniac\\awesome-blockchain\\all_contributors\\contributors_page_1.json']
ksaitor,['.\\GitHubScraping\\imbaniac\\awesome-blockchain\\all_contributors\\contributors_page_1.json']
bitjoin,['.\\GitHubScraping\\imbaniac\\awesome-blockchain\\all_contributors\\contributors_page_1.json']
cssxn,['.\\GitHubScraping\\imfly\\bitcoin-on-nodejs\\all_contributors\\contributors_page_1.json']
zbinlin,['.\\GitHubScraping\\imfly\\bitcoin-on-nodejs\\all_contributors\\contributors_page_1.json']
cyio,['.\\GitHubScraping\\imfly\\bitcoin-on-nodejs\\all_contributors\\contributors_page_1.json']
gromakovsky,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
volhovm,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\daedalus\\all_contributors\\contributors_page_1.json']"
neongreen,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\daedalus\\all_contributors\\contributors_page_1.json']"
sectore,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
Martoon-00,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json']"
pva701,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
flyingleafe,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\daedalus\\all_contributors\\contributors_page_1.json']"
georgeee,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\daedalus\\all_contributors\\contributors_page_1.json']"
akegalj,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\daedalus\\all_contributors\\contributors_page_1.json']"
ksaric,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json']"
avieth,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
rockbmb,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\daedalus\\all_contributors\\contributors_page_1.json']"
int-index,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\daedalus\\all_contributors\\contributors_page_1.json']"
Pastafarianist,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\daedalus\\all_contributors\\contributors_page_1.json']"
adinapoli-iohk,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json']"
domenkozar,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\daedalus\\all_contributors\\contributors_page_1.json']"
ChShersh,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json']"
denisshevchenko,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json']"
dcoutts,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
edsko,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
zakharvoit,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
kantp,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
jmitchell,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\daedalus\\all_contributors\\contributors_page_1.json']"
deepfire,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\daedalus\\all_contributors\\contributors_page_1.json']"
brunjlar,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
hithroc,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
ajnsit,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json']"
cleverca22,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\daedalus\\all_contributors\\contributors_page_1.json']"
dysinger,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
jagajaga,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\daedalus\\all_contributors\\contributors_page_1.json']"
DominikGuzei,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\daedalus\\all_contributors\\contributors_page_1.json']"
naryl,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\daedalus\\all_contributors\\contributors_page_1.json']"
arybczak,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
tomasvrana,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json']"
365andreas,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
vincenthz,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
v0d1ch,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
darko-mijic,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\daedalus\\all_contributors\\contributors_page_1.json']"
AVBelyy,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
erikd,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\monero-project\\monero\\all_contributors\\contributors_page_1.json']"
carlosdagos,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
lehins,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
chrisdone,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
et4te,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
h4ck3rm1k3,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
coot,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
staenrey,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json']"
puffnfresh,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
fersel,"['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\input-output-hk\\daedalus\\all_contributors\\contributors_page_1.json']"
manpages,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
karknu,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
flash-gordon,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
nh2,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
rvl,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
haggl,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
seungwonpark,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
jcmincke,['.\\GitHubScraping\\input-output-hk\\cardano-sl\\all_contributors\\contributors_page_1.json']
jonnysmillie,['.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json']
nahern,['.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json']
0xnm,['.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json']
Blystad,['.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json']
psygnisfive,['.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json']
knarfeh,"['.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\knarfeh\\cncardanodocs.com\\all_contributors\\contributors_page_1.json']"
yihuang,['.\\GitHubScraping\\input-output-hk\\cardanodocs.com\\all_contributors\\contributors_page_1.json']
nikolaglumac,['.\\GitHubScraping\\input-output-hk\\daedalus\\all_contributors\\contributors_page_1.json']
tomothespian,['.\\GitHubScraping\\input-output-hk\\daedalus\\all_contributors\\contributors_page_1.json']
adlk,['.\\GitHubScraping\\input-output-hk\\daedalus\\all_contributors\\contributors_page_1.json']
nikosbentenitis,['.\\GitHubScraping\\input-output-hk\\daedalus\\all_contributors\\contributors_page_1.json']
SebastienGllmt,['.\\GitHubScraping\\input-output-hk\\daedalus\\all_contributors\\contributors_page_1.json']
Investeum,['.\\GitHubScraping\\Investeum\\Cryptocurrency\\all_contributors\\contributors_page_1.json']
Infernoman,"['.\\GitHubScraping\\ionomy\\ion_deprecated2\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\vergecurrency\\VERGE\\all_contributors\\contributors_page_1.json']"
io-eightyeight,['.\\GitHubScraping\\ionomy\\ion_deprecated2\\all_contributors\\contributors_page_1.json']
ionstaff,['.\\GitHubScraping\\ionomy\\ion_deprecated2\\all_contributors\\contributors_page_1.json']
adammatlack,['.\\GitHubScraping\\ionomy\\ion_deprecated2\\all_contributors\\contributors_page_1.json']
broyhill,['.\\GitHubScraping\\ionomy\\ion_deprecated2\\all_contributors\\contributors_page_1.json']
FornaxA,['.\\GitHubScraping\\ionomy\\ion_deprecated2\\all_contributors\\contributors_page_1.json']
coinkiller,['.\\GitHubScraping\\ionomy\\ion_deprecated2\\all_contributors\\contributors_page_1.json']
chey,['.\\GitHubScraping\\ionomy\\ion_deprecated2\\all_contributors\\contributors_page_1.json']
SCDeveloper,['.\\GitHubScraping\\ionomy\\ion_deprecated2\\all_contributors\\contributors_page_1.json']
utamaro,"['.\\GitHubScraping\\iotaledger\\giotan\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\iotaledger\\iota.lib.go\\all_contributors\\contributors_page_1.json']"
heinrichreimer,"['.\\GitHubScraping\\iotaledger\\giotan\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\iotaledger\\iota.lib.go\\all_contributors\\contributors_page_1.json']"
Pomyk,['.\\GitHubScraping\\iotaledger\\iota.lib.go\\all_contributors\\contributors_page_1.json']
deltaskelta,['.\\GitHubScraping\\iotaledger\\iota.lib.go\\all_contributors\\contributors_page_1.json']
abadojack,['.\\GitHubScraping\\iotaledger\\iota.lib.go\\all_contributors\\contributors_page_1.json']
